,wind,solar,price
2024-01-04 09,0.2123,0.3149,122.9375
2024-01-04 10,0.2676,0.3811,104.8125
2024-01-04 11,0.2917,0.4646,74.3750
2024-01-04 12,0.3015,0.4922,79.7500
2024-01-04 13,0.3262,0.4773,84.5000
2024-01-04 14,0.4553,0.3835,80.5000
2024-01-04 15,0.5645,0.2812,87.2500
2024-01-04 16,0.5903,0.1350,97.9375
2024-01-04 17,0.6699,0.0177,97.1875
2024-01-04 18,0.6377,0.0000,94.8125
2024-01-04 19,0.6611,0.0000,115.3750
2024-01-04 20,0.6704,0.0000,97.6875
2024-01-04 21,0.6782,0.0001,93.8750
2024-01-04 22,0.7969,0.0000,71.9375
2024-01-04 23,0.8335,0.0000,40.9375
2024-01-05 00,0.8174,0.0000,32.5938
2024-01-05 01,0.9023,0.0000,20.1719
2024-01-05 02,0.8164,0.0000,26.1719
2024-01-05 03,0.8530,0.0000,2.1543
2024-01-05 04,0.8296,0.0000,39.3125
2024-01-05 05,0.8096,0.0000,67.1875
2024-01-05 06,0.7930,0.0000,72.1875
2024-01-05 07,0.7817,0.0021,72.6875
2024-01-05 08,0.7471,0.1126,77.1250
2024-01-05 09,0.6860,0.4050,58.6562
2024-01-05 10,0.6787,0.5972,68.2500
2024-01-05 11,0.7339,0.6870,-2.0000
2024-01-05 12,0.7397,0.7090,-2.0000
2024-01-05 13,0.7163,0.7031,-2.0000
2024-01-05 14,0.7192,0.6528,-2.0000
2024-01-05 15,0.7134,0.5269,75.0625
2024-01-05 16,0.7510,0.2927,74.1875
2024-01-05 17,0.7920,0.0390,75.7500
2024-01-05 18,0.7007,0.0001,81.8750
2024-01-05 19,0.6689,0.0001,96.6875
2024-01-05 20,0.6738,0.0001,103.7500
2024-01-05 21,0.6816,0.0001,93.3125
2024-01-05 22,0.6855,0.0001,75.6875
2024-01-05 23,0.6226,0.0000,77.0000
2024-01-06 00,0.6060,0.0000,59.2812
2024-01-06 01,0.5264,0.0000,59.3125
2024-01-06 02,0.4285,0.0000,-2.0000
2024-01-06 03,0.3682,0.0000,66.9375
2024-01-06 04,0.1914,0.0000,99.1875
2024-01-06 05,0.1830,0.0000,88.9375
2024-01-06 06,0.0488,0.0000,114.0625
2024-01-06 07,0.0581,0.0014,109.8125
2024-01-06 08,0.0308,0.0767,122.8750
2024-01-06 09,0.0080,0.2240,101.6250
2024-01-06 10,0.0075,0.2825,96.7500
2024-01-06 11,0.0170,0.3772,97.3750
2024-01-06 12,0.1091,0.3635,77.8750
2024-01-06 13,0.0709,0.4490,79.7500
2024-01-06 14,0.1370,0.4053,96.6875
2024-01-06 15,0.1500,0.2781,108.2500
2024-01-06 16,0.1694,0.1216,114.0625
2024-01-06 17,0.1736,0.0184,121.1875
2024-01-06 18,0.1732,0.0000,138.0000
2024-01-06 19,0.2166,0.0000,130.7500
2024-01-06 20,0.2822,0.0000,133.7500
2024-01-06 21,0.2922,0.0001,106.6250
2024-01-06 22,0.2922,0.0000,101.9375
2024-01-06 23,0.3474,0.0000,94.6875
2024-01-07 00,0.3953,0.0000,96.1250
2024-01-07 01,0.4641,0.0000,82.3750
2024-01-07 02,0.4727,0.0000,65.3750
2024-01-07 03,0.5039,0.0000,62.8438
2024-01-07 04,0.5210,0.0000,77.0625
2024-01-07 05,0.4312,0.0000,91.5000
2024-01-07 06,0.4189,0.0000,94.9375
2024-01-07 07,0.4287,0.0013,96.3750
2024-01-07 08,0.4546,0.0745,85.7500
2024-01-07 09,0.5283,0.2063,97.8750
2024-01-07 10,0.5308,0.3022,73.8750
2024-01-07 11,0.5288,0.3682,94.0000
2024-01-07 12,0.5879,0.3179,78.5000
2024-01-07 13,0.6323,0.2771,86.8750
2024-01-07 14,0.6729,0.2188,85.5000
2024-01-07 15,0.7173,0.1006,67.8750
2024-01-07 16,0.7207,0.0116,68.1250
2024-01-07 17,0.7261,0.0005,82.7500
2024-01-07 18,0.7798,0.0000,56.7500
2024-01-07 19,0.8569,0.0000,45.5625
2024-01-07 20,0.8936,0.0000,48.0312
2024-01-07 21,0.8931,0.0000,42.5312
2024-01-07 22,0.9111,0.0001,44.6562
2024-01-07 23,0.9028,0.0000,57.8750
2024-01-08 00,0.7891,0.0000,72.5625
2024-01-08 01,0.8018,0.0000,81.8125
2024-01-08 02,0.8389,0.0000,71.8125
2024-01-08 03,0.8403,0.0000,64.1875
2024-01-08 04,0.8447,0.0000,77.7500
2024-01-08 05,0.8608,0.0000,80.2500
2024-01-08 06,0.7690,0.0000,117.0000
2024-01-08 07,0.6528,0.0007,107.6875
2024-01-08 08,0.5693,0.0514,117.2500
2024-01-08 09,0.4902,0.1277,122.1875
2024-01-08 10,0.4729,0.2795,121.0000
2024-01-08 11,0.3970,0.3667,114.6250
2024-01-08 12,0.3921,0.3691,110.9375
2024-01-08 13,0.3848,0.3376,105.7500
2024-01-08 14,0.3757,0.3213,113.5000
2024-01-08 15,0.2798,0.1595,131.0000
2024-01-08 16,0.2321,0.0520,136.0000
2024-01-08 17,0.2264,0.0086,131.5000
2024-01-08 18,0.1755,0.0000,139.1250
2024-01-08 19,0.1522,0.0000,150.7500
2024-01-08 20,0.1316,0.0001,143.3750
2024-01-08 21,0.1290,0.0001,132.3750
2024-01-08 22,0.1168,0.0001,135.8750
2024-01-08 23,0.0994,0.0000,146.8750
2024-01-09 00,0.1214,0.0000,131.1250
2024-01-09 01,0.1278,0.0000,168.0000
2024-01-09 02,0.1343,0.0000,146.5000
2024-01-09 03,0.1462,0.0000,131.2500
2024-01-09 04,0.3508,0.0000,107.6250
2024-01-09 05,0.4639,0.0000,115.2500
2024-01-09 06,0.5410,0.0000,123.6875
2024-01-09 07,0.5518,0.0018,150.1250
2024-01-09 08,0.5835,0.1158,140.2500
2024-01-09 09,0.5688,0.3823,85.5000
2024-01-09 10,0.5566,0.5312,83.1250
2024-01-09 11,0.5615,0.6187,50.8438
2024-01-09 12,0.4365,0.6201,64.5000
2024-01-09 13,0.4165,0.6362,77.6250
2024-01-09 14,0.4280,0.5405,87.4375
2024-01-09 15,0.6465,0.3579,78.3750
2024-01-09 16,0.7236,0.1499,88.5625
2024-01-09 17,0.7153,0.0192,104.4375
2024-01-09 18,0.6895,0.0001,111.3125
2024-01-09 19,0.6143,0.0000,136.3750
2024-01-09 20,0.5503,0.0001,109.8750
2024-01-09 21,0.4741,0.0001,97.6250
2024-01-09 22,0.4568,0.0001,95.8750
2024-01-09 23,0.4146,0.0000,78.8750
2024-01-10 00,0.4333,0.0000,98.1250
2024-01-10 01,0.4497,0.0000,86.7500
2024-01-10 02,0.4568,0.0000,91.3750
2024-01-10 03,0.5669,0.0000,95.3125
2024-01-10 04,0.5781,0.0000,109.7500
2024-01-10 05,0.6421,0.0000,84.2500
2024-01-10 06,0.7031,0.0000,78.4375
2024-01-10 07,0.7188,0.0003,84.5625
2024-01-10 08,0.7310,0.0457,48.8438
2024-01-10 09,0.7729,0.1349,53.1250
2024-01-10 10,0.7651,0.1864,45.7812
2024-01-10 11,0.7549,0.2322,49.1250
2024-01-10 12,0.6846,0.2340,41.7500
2024-01-10 13,0.6665,0.2203,69.6875
2024-01-10 14,0.6919,0.2457,79.6875
2024-01-10 15,0.7017,0.2612,85.6250
2024-01-10 16,0.6816,0.1228,91.4375
2024-01-10 17,0.6729,0.0123,97.6250
2024-01-10 18,0.5718,0.0000,129.7500
2024-01-10 19,0.4644,0.0000,147.2500
2024-01-10 20,0.3572,0.0000,136.2500
2024-01-10 21,0.3464,0.0001,110.6250
2024-01-10 22,0.3486,0.0001,101.6875
2024-01-10 23,0.2617,0.0000,121.8750
2024-01-11 00,0.2405,0.0000,122.9375
2024-01-11 01,0.2177,0.0000,112.8125
2024-01-11 02,0.2002,0.0000,144.5000
2024-01-11 03,0.1990,0.0000,151.1250
2024-01-11 04,0.1659,0.0000,114.7500
2024-01-11 05,0.1681,0.0000,113.2500
2024-01-11 06,0.2070,0.0000,119.6250
2024-01-11 07,0.2135,0.0000,139.1250
2024-01-11 08,0.2262,0.0105,126.8125
2024-01-11 09,0.1539,0.0384,137.6250
2024-01-11 10,0.1470,0.0713,137.6250
2024-01-11 11,0.1361,0.1105,124.6875
2024-01-11 12,0.1593,0.1217,117.3750
2024-01-11 13,0.1793,0.1081,105.8750
2024-01-11 14,0.2869,0.0978,114.6875
2024-01-11 15,0.2861,0.1338,122.9375
2024-01-11 16,0.4434,0.0793,98.2500
2024-01-11 17,0.4500,0.0080,20.7500
2024-01-11 18,0.4443,0.0000,27.9062
2024-01-11 19,0.4341,0.0000,32.5312
2024-01-11 20,0.4365,0.0000,19.9219
2024-01-11 21,0.3962,0.0000,15.8516
2024-01-11 22,0.3813,0.0000,-2.0000
2024-01-11 23,0.4058,0.0000,4.4375
2024-01-12 00,0.4412,0.0000,124.1875
2024-01-12 01,0.4585,0.0000,112.6250
2024-01-12 02,0.3884,0.0000,116.5625
2024-01-12 03,0.3801,0.0000,115.5625
2024-01-12 04,0.3599,0.0000,111.3125
2024-01-12 05,0.2778,0.0000,129.8750
2024-01-12 06,0.2898,0.0000,143.3750
2024-01-12 07,0.3345,0.0000,143.5000
2024-01-12 08,0.4043,0.0132,123.0000
2024-01-12 09,0.4282,0.0532,129.0000
2024-01-12 10,0.5195,0.0713,109.3125
2024-01-12 11,0.4731,0.1105,126.1875
2024-01-12 12,0.5044,0.1217,112.7500
2024-01-12 13,0.4907,0.1852,110.0000
2024-01-12 14,0.5312,0.1588,130.6250
2024-01-12 15,0.5718,0.0782,119.4375
2024-01-12 16,0.5952,0.0204,97.5625
2024-01-12 17,0.5845,0.0070,112.5000
2024-01-12 18,0.6221,0.0000,131.1250
2024-01-12 19,0.6792,0.0000,135.6250
2024-01-12 20,0.7207,0.0000,106.5000
2024-01-12 21,0.7246,0.0000,105.3125
2024-01-12 22,0.7671,0.0000,101.3750
2024-01-12 23,0.7837,0.0000,93.1875
2024-01-13 00,0.7056,0.0000,95.5000
2024-01-13 01,0.6919,0.0000,86.5000
2024-01-13 02,0.6626,0.0000,79.6250
2024-01-13 03,0.6592,0.0000,81.1875
2024-01-13 04,0.6035,0.0000,84.5625
2024-01-13 05,0.4910,0.0000,78.3750
2024-01-13 06,0.4800,0.0000,88.3750
2024-01-13 07,0.4585,0.0008,72.0000
2024-01-13 08,0.4382,0.0717,77.3750
2024-01-13 09,0.3911,0.2974,52.0625
2024-01-13 10,0.2927,0.4697,35.3750
2024-01-13 11,0.3401,0.5034,45.1562
2024-01-13 12,0.3562,0.5010,46.0625
2024-01-13 13,0.3984,0.5254,55.3125
2024-01-13 14,0.4692,0.4175,55.6250
2024-01-13 15,0.5059,0.2510,61.6875
2024-01-13 16,0.5820,0.1348,74.9375
2024-01-13 17,0.5352,0.0238,90.0625
2024-01-13 18,0.4983,0.0001,117.5000
2024-01-13 19,0.4897,0.0000,122.3125
2024-01-13 20,0.5020,0.0001,117.2500
2024-01-13 21,0.4790,0.0001,110.0625
2024-01-13 22,0.4744,0.0001,112.0000
2024-01-13 23,0.3955,0.0000,109.3750
2024-01-14 00,0.3721,0.0000,111.1875
2024-01-14 01,0.3689,0.0000,86.2500
2024-01-14 02,0.2421,0.0000,118.7500
2024-01-14 03,0.1737,0.0000,118.9375
2024-01-14 04,0.1321,0.0000,120.1875
2024-01-14 05,0.1245,0.0000,122.6875
2024-01-14 06,0.1241,0.0000,146.8750
2024-01-14 07,0.0630,0.0015,150.8750
2024-01-14 08,0.1089,0.0911,140.0000
2024-01-14 09,0.1948,0.2607,106.9375
2024-01-14 10,0.1866,0.3357,93.1250
2024-01-14 11,0.1469,0.3796,90.1875
2024-01-14 12,0.1567,0.3657,65.3125
2024-01-14 13,0.2020,0.3032,77.6875
2024-01-14 14,0.2515,0.2295,83.3750
2024-01-14 15,0.2512,0.1617,102.1250
2024-01-14 16,0.2406,0.0574,127.3750
2024-01-14 17,0.2122,0.0077,137.7500
2024-01-14 18,0.1526,0.0000,139.8750
2024-01-14 19,0.1456,0.0000,160.0000
2024-01-14 20,0.1223,0.0000,160.6250
2024-01-14 21,0.0944,0.0000,139.3750
2024-01-14 22,0.1669,0.0000,121.6875
2024-01-14 23,0.1782,0.0000,121.5000
2024-01-15 00,0.1853,0.0000,121.6250
2024-01-15 01,0.2371,0.0000,106.1250
2024-01-15 02,0.2668,0.0000,104.5000
2024-01-15 03,0.2849,0.0000,101.6250
2024-01-15 04,0.2749,0.0000,101.9375
2024-01-15 05,0.2639,0.0000,115.7500
2024-01-15 06,0.2593,0.0000,148.1250
2024-01-15 07,0.2642,0.0012,165.0000
2024-01-15 08,0.2410,0.0944,153.6250
2024-01-15 09,0.2186,0.3035,150.2500
2024-01-15 10,0.3130,0.3521,133.7500
2024-01-15 11,0.3645,0.4429,102.0000
2024-01-15 12,0.3792,0.4470,111.1250
2024-01-15 13,0.4084,0.4604,113.3125
2024-01-15 14,0.4407,0.3823,119.3750
2024-01-15 15,0.4626,0.2961,119.9375
2024-01-15 16,0.5098,0.1355,126.6250
2024-01-15 17,0.5059,0.0132,140.8750
2024-01-15 18,0.4910,0.0000,140.3750
2024-01-15 19,0.5356,0.0000,136.3750
2024-01-15 20,0.6558,0.0000,135.6250
2024-01-15 21,0.6816,0.0000,116.0625
2024-01-15 22,0.7388,0.0000,94.8125
2024-01-15 23,0.7461,0.0000,61.6562
2024-01-16 00,0.7666,0.0000,60.9688
2024-01-16 01,0.7334,0.0000,76.1250
2024-01-16 02,0.7256,0.0000,85.2500
2024-01-16 03,0.6665,0.0000,92.1250
2024-01-16 04,0.6304,0.0000,120.1875
2024-01-16 05,0.7144,0.0000,109.0625
2024-01-16 06,0.6929,0.0000,120.5000
2024-01-16 07,0.6206,0.0008,94.6250
2024-01-16 08,0.5864,0.0985,98.8125
2024-01-16 09,0.6064,0.2671,102.3750
2024-01-16 10,0.5581,0.3760,106.6875
2024-01-16 11,0.5142,0.4766,101.5625
2024-01-16 12,0.4504,0.4893,112.8750
2024-01-16 13,0.4705,0.4084,124.1875
2024-01-16 14,0.5459,0.3254,129.7500
2024-01-16 15,0.5669,0.3474,112.4375
2024-01-16 16,0.6172,0.1362,108.6875
2024-01-16 17,0.5850,0.0160,122.8750
2024-01-16 18,0.4714,0.0001,135.6250
2024-01-16 19,0.4609,0.0000,134.5000
2024-01-16 20,0.4666,0.0000,103.5000
2024-01-16 21,0.4177,0.0001,97.6875
2024-01-16 22,0.3667,0.0000,87.6875
2024-01-16 23,0.3660,0.0000,107.9375
2024-01-17 00,0.2668,0.0000,128.7500
2024-01-17 01,0.2217,0.0000,118.2500
2024-01-17 02,0.1979,0.0000,114.1875
2024-01-17 03,0.2131,0.0000,112.6250
2024-01-17 04,0.1704,0.0000,145.5000
2024-01-17 05,0.1515,0.0000,161.6250
2024-01-17 06,0.1520,0.0000,166.8750
2024-01-17 07,0.1821,0.0021,165.0000
2024-01-17 08,0.1769,0.1447,153.1250
2024-01-17 09,0.1238,0.4050,137.5000
2024-01-17 10,0.1235,0.6089,112.6875
2024-01-17 11,0.0787,0.6870,120.3125
2024-01-17 12,0.0582,0.7090,126.6250
2024-01-17 13,0.0718,0.7031,106.5000
2024-01-17 14,0.0862,0.6528,89.9375
2024-01-17 15,0.0540,0.5269,84.1250
2024-01-17 16,0.0894,0.2610,130.5000
2024-01-17 17,0.1246,0.0325,148.3750
2024-01-17 18,0.1283,0.0001,169.6250
2024-01-17 19,0.1194,0.0000,155.5000
2024-01-17 20,0.1218,0.0001,153.2500
2024-01-17 21,0.0772,0.0001,161.2500
2024-01-17 22,0.0506,0.0000,144.1250
2024-01-17 23,0.0404,0.0000,125.3750
2024-01-18 00,0.0347,0.0000,134.7500
2024-01-18 01,0.0409,0.0000,148.0000
2024-01-18 02,0.0127,0.0000,151.6250
2024-01-18 03,0.0216,0.0000,159.2500
2024-01-18 04,0.0125,0.0000,128.6250
2024-01-18 05,0.0681,0.0000,149.5000
2024-01-18 06,0.0756,0.0000,163.6250
2024-01-18 07,0.0276,0.0024,185.5000
2024-01-18 08,0.0382,0.1259,176.7500
2024-01-18 09,0.0159,0.3948,143.5000
2024-01-18 10,0.0047,0.6089,118.1875
2024-01-18 11,0.0144,0.6870,112.7500
2024-01-18 12,0.0133,0.7090,111.1250
2024-01-18 13,0.0651,0.7031,98.1250
2024-01-18 14,0.0332,0.6528,112.5000
2024-01-18 15,0.0758,0.5269,106.5625
2024-01-18 16,0.1581,0.2271,110.1250
2024-01-18 17,0.1793,0.0205,160.7500
2024-01-18 18,0.1652,0.0000,156.7500
2024-01-18 19,0.1665,0.0000,158.2500
2024-01-18 20,0.1842,0.0000,151.3750
2024-01-18 21,0.1914,0.0000,147.6250
2024-01-18 22,0.2103,0.0000,143.8750
2024-01-18 23,0.2253,0.0000,118.7500
2024-01-19 00,0.2327,0.0000,99.3750
2024-01-19 01,0.2285,0.0000,97.8125
2024-01-19 02,0.2217,0.0000,103.1875
2024-01-19 03,0.1700,0.0000,114.5625
2024-01-19 04,0.1225,0.0000,109.8750
2024-01-19 05,0.0891,0.0000,128.1250
2024-01-19 06,0.0790,0.0000,126.5625
2024-01-19 07,0.1542,0.0016,145.5000
2024-01-19 08,0.1652,0.0861,128.0000
2024-01-19 09,0.1548,0.3032,126.3125
2024-01-19 10,0.1232,0.5742,90.0000
2024-01-19 11,0.1733,0.6118,64.3750
2024-01-19 12,0.2299,0.6411,70.2500
2024-01-19 13,0.2452,0.6294,67.5625
2024-01-19 14,0.4158,0.5674,71.8750
2024-01-19 15,0.4717,0.3928,59.0000
2024-01-19 16,0.5010,0.2174,77.1875
2024-01-19 17,0.5137,0.0178,94.8750
2024-01-19 18,0.5723,0.0000,115.8750
2024-01-19 19,0.7041,0.0000,109.6875
2024-01-19 20,0.7510,0.0001,96.2500
2024-01-19 21,0.7427,0.0001,78.3125
2024-01-19 22,0.6758,0.0001,69.2500
2024-01-19 23,0.6572,0.0000,35.4688
2024-01-20 00,0.5034,0.0000,52.5312
2024-01-20 01,0.4956,0.0000,47.3125
2024-01-20 02,0.4658,0.0000,44.0625
2024-01-20 03,0.4622,0.0000,43.2812
2024-01-20 04,0.4661,0.0000,50.8438
2024-01-20 05,0.4241,0.0000,62.0312
2024-01-20 06,0.3137,0.0000,87.3750
2024-01-20 07,0.2435,0.0018,78.0625
2024-01-20 08,0.2273,0.1207,75.1875
2024-01-20 09,0.1255,0.4304,68.5000
2024-01-20 10,0.0882,0.6089,73.1875
2024-01-20 11,0.0854,0.6870,55.0312
2024-01-20 12,0.0036,0.7090,79.3125
2024-01-20 13,0.0094,0.7031,84.5000
2024-01-20 14,0.0572,0.6528,69.4375
2024-01-20 15,0.0248,0.5269,99.1250
2024-01-20 16,0.0651,0.2932,117.1875
2024-01-20 17,0.0592,0.0282,134.7500
2024-01-20 18,0.0042,0.0001,154.2500
2024-01-20 19,0.0115,0.0001,165.2500
2024-01-20 20,0.0293,0.0001,46.2812
2024-01-20 21,0.0061,0.0001,157.3750
2024-01-20 22,0.0050,0.0001,144.5000
2024-01-20 23,0.0336,0.0001,89.5625
2024-01-21 00,0.1703,0.0000,67.6250
2024-01-21 01,0.0218,0.0000,74.8750
2024-01-21 02,0.0517,0.0000,74.6250
2024-01-21 03,0.0260,0.0000,102.1875
2024-01-21 04,0.0047,0.0000,107.0000
2024-01-21 05,0.0056,0.0000,116.1250
2024-01-21 06,0.0113,0.0000,120.7500
2024-01-21 07,0.0243,0.0025,118.0625
2024-01-21 08,0.0629,0.1098,90.9375
2024-01-21 09,0.0273,0.3367,71.4375
2024-01-21 10,0.0034,0.5112,74.4375
2024-01-21 11,0.0127,0.5967,65.6875
2024-01-21 12,0.0178,0.7021,60.6562
2024-01-21 13,0.0618,0.7031,53.7500
2024-01-21 14,0.0856,0.6528,62.0625
2024-01-21 15,0.0742,0.5269,75.6875
2024-01-21 16,0.1344,0.2388,112.7500
2024-01-21 17,0.1837,0.0210,133.1250
2024-01-21 18,0.1790,0.0001,151.8750
2024-01-21 19,0.1594,0.0001,127.2500
2024-01-21 20,0.1859,0.0001,126.8125
2024-01-21 21,0.1261,0.0001,118.0000
2024-01-21 22,0.1243,0.0000,106.1250
2024-01-21 23,0.1412,0.0000,92.6875
2024-01-22 00,0.1818,0.0000,96.2500
2024-01-22 01,0.2450,0.0000,92.5000
2024-01-22 02,0.2174,0.0000,109.3750
2024-01-22 03,0.1960,0.0000,115.7500
2024-01-22 04,0.1577,0.0000,142.1250
2024-01-22 05,0.1486,0.0000,143.3750
2024-01-22 06,0.1573,0.0000,159.7500
2024-01-22 07,0.1669,0.0029,151.6250
2024-01-22 08,0.1460,0.1160,155.7500
2024-01-22 09,0.1082,0.3669,129.5000
2024-01-22 10,0.0363,0.5679,129.2500
2024-01-22 11,0.0294,0.5830,128.3750
2024-01-22 12,0.0076,0.7080,109.8750
2024-01-22 13,0.0035,0.7031,103.3750
2024-01-22 14,0.0430,0.6333,117.0625
2024-01-22 15,0.1196,0.4050,119.2500
2024-01-22 16,0.1801,0.1797,122.1875
2024-01-22 17,0.1895,0.0189,141.2500
2024-01-22 18,0.1660,0.0001,138.8750
2024-01-22 19,0.1738,0.0001,155.7500
2024-01-22 20,0.1957,0.0001,145.8750
2024-01-22 21,0.1747,0.0001,140.0000
2024-01-22 22,0.1078,0.0000,116.5000
2024-01-22 23,0.0172,0.0000,115.8750
2024-01-23 00,0.0251,0.0000,114.1875
2024-01-23 01,0.0579,0.0000,96.0000
2024-01-23 02,0.0762,0.0000,101.1875
2024-01-23 03,0.0831,0.0000,120.9375
2024-01-23 04,0.0800,0.0000,129.3750
2024-01-23 05,0.1438,0.0000,137.3750
2024-01-23 06,0.1318,0.0000,141.2500
2024-01-23 07,0.1261,0.0018,149.1250
2024-01-23 08,0.1637,0.0931,128.0000
2024-01-23 09,0.1346,0.3357,111.5000
2024-01-23 10,0.1057,0.6089,84.2500
2024-01-23 11,0.1201,0.6279,89.0000
2024-01-23 12,0.1902,0.7075,85.8125
2024-01-23 13,0.1825,0.6494,65.3125
2024-01-23 14,0.1655,0.6025,78.1250
2024-01-23 15,0.1808,0.4895,100.4375
2024-01-23 16,0.1425,0.2112,144.0000
2024-01-23 17,0.1248,0.0239,166.7500
2024-01-23 18,0.1257,0.0001,156.7500
2024-01-23 19,0.2180,0.0001,148.7500
2024-01-23 20,0.1948,0.0001,144.1250
2024-01-23 21,0.1864,0.0001,124.2500
2024-01-23 22,0.1716,0.0001,123.1875
2024-01-23 23,0.2356,0.0000,102.5625
2024-01-24 00,0.2522,0.0000,113.5000
2024-01-24 01,0.3040,0.0000,122.6875
2024-01-24 02,0.3018,0.0000,114.1250
2024-01-24 03,0.2793,0.0000,111.0625
2024-01-24 04,0.2561,0.0000,123.1250
2024-01-24 05,0.2629,0.0000,122.6875
2024-01-24 06,0.2913,0.0000,122.1250
2024-01-24 07,0.3547,0.0007,138.6250
2024-01-24 08,0.3660,0.0312,123.1250
2024-01-24 09,0.3542,0.1511,94.2500
2024-01-24 10,0.3801,0.3342,70.6250
2024-01-24 11,0.3774,0.4036,66.5625
2024-01-24 12,0.4727,0.4248,81.0625
2024-01-24 13,0.4609,0.5596,66.5625
2024-01-24 14,0.5186,0.5518,90.8750
2024-01-24 15,0.6118,0.3958,75.8125
2024-01-24 16,0.7710,0.1886,76.1875
2024-01-24 17,0.7114,0.0255,97.5000
2024-01-24 18,0.6831,0.0001,80.6250
2024-01-24 19,0.6567,0.0001,80.6875
2024-01-24 20,0.6060,0.0001,85.3750
2024-01-24 21,0.5918,0.0001,76.4375
2024-01-24 22,0.5566,0.0001,74.6250
2024-01-24 23,0.5488,0.0000,71.5625
2024-01-25 00,0.5122,0.0000,80.4375
2024-01-25 01,0.4546,0.0000,71.4375
2024-01-25 02,0.3367,0.0000,64.3750
2024-01-25 03,0.2520,0.0000,79.8750
2024-01-25 04,0.2253,0.0000,109.0000
2024-01-25 05,0.3232,0.0000,130.5000
